Player,Team,Pos,name,GSIS_ID,Birth_date,season
Robert Woods,BUF,WR,R.Woods,00-0030431,1992-04-10,2015
Brian Hartline,CLE,WR,B.Hartline,00-0027077,1986-11-22,2015
Steve Smith,BAL,WR,S.Smith,00-0020337,1979-05-12,2015
Marques Colston,NO,WR,M.Colston,00-0024466,1983-06-05,2015
Steve Johnson,SD,WR,S.Johnson,00-0026364,1986-07-22,2015
Ted Ginn,CAR,WR,T.Ginn,00-0025396,1985-04-12,2015
Markus Wheaton,PIT,WR,M.Wheaton,00-0030460,1991-02-07,2015
Rishard Matthews,MIA,WR,R.Matthews,00-0029580,1989-10-12,2015
Roddy White,ATL,WR,R.White,00-0023462,1981-11-02,2015
Cecil Shorts,HOU,WR,C.Shorts,00-0028052,1987-12-22,2015
Andre Johnson,IND,WR,A.Johnson,00-0022044,1981-07-11,2015
Jerricho Cotchery,CAR,WR,J.Cotchery,00-0022811,1982-06-16,2015
Mike Wallace,MIN,WR,M.Wallace,00-0026901,1986-08-01,2015
Brandon LaFell,NE,WR,B.LaFell,00-0027681,1986-11-04,2015
Eddie Royal,CHI,WR,E.Royal,00-0026182,1986-05-21,2015
Kenny Britt,STL,WR,K.Britt,00-0027006,1988-09-19,2015
Harry Douglas,TEN,WR,H.Douglas,00-0026224,1984-09-16,2015
Dwayne Harris,NYG,WR,D.Harris,00-0028114,1987-09-16,2015
Chris Hogan,BUF,WR,C.Hogan,00-0028237,1987-10-24,2015
Kendall Wright,TEN,WR,K.Wright,00-0029708,1989-11-12,2015
Dontrelle Inman,SD,WR,D.Inman,00-0028411,1989-01-31,2015
Albert Wilson,KC,WR,A.Wilson,00-0030669,1992-07-12,2015
Jarius Wright,MIN,WR,J.Wright,00-0029572,1989-11-25,2015
Vincent Jackson,TB,WR,V.Jackson,00-0023496,1983-01-14,2015
Mohamed Sanu,CIN,WR,M.Sanu,00-0029632,1989-08-22,2015
Torrey Smith,SF,WR,T.Smith,00-0027996,1989-01-26,2015
Dorial Green-Beckham,TEN,WR,D.Green-Beckham,00-0032218,1993-04-12,2015
Seth Roberts,OAK,WR,S.Roberts,00-0031166,1991-02-22,2015
Bryan Walters,JAC,WR,B.Walters,00-0027595,1987-11-04,2015
Corey Brown,CAR,WR,C.Brown,00-0031118,1991-12-16,2015
Dez Bryant,DAL,WR,D.Bryant,00-0027902,1988-11-04,2015
Jeremy Butler,BAL,WR,J.Butler,00-0030691,1991-04-22,2015
Devin Funchess,CAR,WR,D.Funchess,00-0032055,1994-05-21,2015
Brandon Coleman,NO,WR,B.Coleman,00-0030801,1992-06-22,2015
Malcom Floyd,SD,WR,M.Floyd,00-0022414,1981-09-08,2015
DeSean Jackson,WAS,WR,D.Jackson,00-0026189,1986-12-01,2015
Quinton Patton,SF,WR,Q.Patton,00-0030450,1990-08-09,2015
Lance Moore,DET,WR,L.Moore,00-0023310,1983-08-31,2015
Taylor Gabriel,CLE,WR,T.Gabriel,00-0031228,1991-02-17,2015
Marquess Wilson,CHI,WR,M.Wilson,00-0030047,1992-09-14,2015
Andrew Hawkins,CLE,WR,A.Hawkins,00-0027918,1986-03-10,2015
Josh Huff,PHI,WR,J.Huff,00-0030990,1991-10-14,2015
Adam Humphries,TB,WR,A.Humphries,00-0032009,1993-06-24,2015
Kenny Stills,MIA,WR,K.Stills,00-0030085,1992-04-22,2015
DeVante Parker,MIA,WR,D.Parker,00-0031547,1993-01-20,2015
Javontee Herndon,SD,WR,J.Herndon,00-0030920,1991-06-29,2015
Keshawn Martin,NE,WR,K.Martin,00-0029415,1990-03-15,2015
Nelson Agholor,PHI,WR,N.Agholor,00-0031549,1993-05-24,2015
Ryan Grant,WAS,WR,R.Grant,00-0031068,1990-12-19,2015
Quincy Enunwa,NYJ,WR,Q.Enunwa,00-0031023,1992-05-31,2015
Justin Hunter,TEN,WR,J.Hunter,00-0030521,1991-05-20,2015
Marc Mariani,CHI,WR,M.Mariani,00-0027816,1987-05-02,2015
Jordan Norwood,DEN,WR,J.Norwood,00-0026739,1986-09-28,2015
Riley Cooper,PHI,WR,R.Cooper,00-0027758,1987-09-09,2015
Justin Hardy,ATL,WR,J.Hardy,00-0031570,1991-12-18,2015
Darrius Heyward-Bey,PIT,WR,D.Heyward-Bey,00-0026983,1987-02-26,2015
Josh Bellamy,CHI,WR,J.Bellamy,00-0029319,1989-05-18,2015
Chris Givens,BAL,WR,C.Givens,00-0029614,1989-12-06,2015
Rashad Greene,JAC,WR,R.Greene,00-0032170,1992-09-23,2015
Percy Harvin,BUF,WR,P.Harvin,00-0026998,1988-05-28,2015
Greg Jennings,MIA,WR,G.Jennings,00-0024267,1983-09-21,2015
Griff Whalen,IND,WR,G.Whalen,00-0029033,1990-03-01,2015
Phillip Dorsett,IND,WR,P.Dorsett,00-0032208,1993-01-05,2015
Chris Conley,KC,WR,C.Conley,00-0032128,1992-10-25,2015
De'Anthony Thomas,KC,WR,D.Thomas,00-0031060,1993-01-05,2015
Kenbrell Thompkins,NYJ,WR,K.Thompkins,00-0030000,1988-07-29,2015
Nick Williams,ATL,WR,N.Williams,00-0029848,1990-11-23,2015
Bennie Fowler,DEN,WR,B.Fowler,00-0030670,1991-06-10,2015
Jeremy Kerley,NYJ,WR,J.Kerley,00-0028091,1988-11-08,2015
Jason Avant,KC,WR,J.Avant,00-0024324,1983-04-20,2015
Marqise Lee,JAC,WR,M.Lee,00-0031431,1991-11-25,2015
Ty Montgomery,GB,WR,T.Montgomery,00-0032200,1993-01-22,2015
Marlon Brown,BAL,WR,M.Brown,00-0030400,1991-04-22,2015
Andre Holmes,OAK,WR,A.Holmes,00-0028263,1988-06-16,2015
Darius Jennings,CLE,WR,D.Jennings,00-0031972,1992-06-28,2015
Keith Mumphery,HOU,WR,K.Mumphery,00-0031600,1992-06-05,2015
Jaelen Strong,HOU,WR,J.Strong,00-0031560,1994-01-25,2015
Miles Austin,PHI,WR,M.Austin,00-0023921,1984-06-30,2015
Aaron Dobson,NE,WR,A.Dobson,00-0030540,1991-07-23,2015
Bruce Ellington,SF,WR,B.Ellington,00-0031326,1991-08-22,2015
Bradley Marquez,STL,WR,B.Marquez,00-0031818,1992-12-14,2015
Wes Welker,STL,WR,W.Welker,00-0022427,1981-05-01,2015
Stedman Bailey,STL,WR,S.Bailey,00-0030532,1990-11-11,2015
Brice Butler,DAL,WR,B.Butler,00-0030516,1990-01-29,2015
Adam Thielen,MIN,WR,A.Thielen,00-0030035,1990-08-22,2015
Jaron Brown,ARI,WR,J.Brown,00-0030300,1990-01-08,2015
Donteea Dye,TB,WR,D.Dye,00-0032008,1993-08-20,2015
Cameron Meredith,CHI,WR,C.Meredith,00-0031912,1992-09-21,2015
J.J. Nelson,ARI,WR,J.Nelson,00-0032112,1992-04-24,2015
Andre Roberts,WAS,WR,A.Roberts,00-0027691,1988-01-09,2015
Andre Caldwell,DEN,WR,A.Caldwell,00-0026237,1985-04-15,2015
T.J. Jones,DET,WR,T.Jones,00-0031189,1992-07-19,2015
Louis Murphy,TB,WR,L.Murphy,00-0027089,1987-05-11,2015
Brian Quick,STL,WR,B.Quick,00-0029640,1989-06-05,2015
Jared Abbrederis,GB,WR,J.Abbrederis,00-0031021,1990-12-17,2015
Brenton Bersin,CAR,WR,B.Bersin,00-0029394,1990-05-09,2015
Charles D. Johnson,MIN,WR,C.Johnson,00-0030113,1989-02-27,2015
Chris Matthews,BAL,WR,C.Matthews,00-0028702,1989-10-06,2015
Devin Smith,NYJ,WR,D.Smith,00-0031934,1992-03-03,2015
Rashad Ross,WAS,WR,R.Ross,00-0030187,1990-02-02,2015
Marlon Moore,CLE,WR,M.Moore,00-0027356,1987-09-03,2015
Hakeem Nicks,NYG,WR,H.Nicks,00-0027005,1988-01-14,2015
Devin Street,DAL,WR,D.Street,00-0031310,1991-03-30,2015
Myles White,NYG,WR,M.White,00-0030274,1990-03-30,2015
Daniel Brown,BAL,WR,D.Brown,00-0032098,1992-05-26,2015
Cody Latimer,DEN,WR,C.Latimer,00-0031344,1992-10-10,2015
Chris Owusu,NYJ,WR,C.Owusu,00-0028905,1990-01-06,2015
Lucky Whitehead,DAL,WR,L.Whitehead,00-0031757,1992-06-02,2015
Dwayne Bowe,CLE,WR,D.Bowe,00-0025410,1984-09-21,2015
Michael Campanaro,BAL,WR,M.Campanaro,00-0031025,1991-01-25,2015
Preston Parker,NYG,WR,P.Parker,00-0027450,1987-02-13,2015
Jerome Simpson,SF,WR,J.Simpson,00-0026186,1986-02-04,2015
Corey Fuller,DET,WR,C.Fuller,00-0030095,1990-06-23,2015
Trevor Graham,NO,WR,T.Graham,00-0029660,1989-07-27,2015
Ricardo Lockette,SEA,WR,R.Lockette,00-0028442,1986-05-21,2015
Greg Salas,BUF,WR,G.Salas,00-0028050,1988-08-25,2015
Russell Shepard,TB,WR,R.Shepard,00-0030147,1990-09-17,2015
Kevin Smith,SEA,WR,K.Smith,00-0031320,1991-12-21,2015
Chandler Worthy,HOU,WR,C.Worthy,00-0031932,1993-09-15,2015
Geremy Davis,NYG,WR,G.Davis,00-0031953,1992-01-10,2015
Marquise Goodwin,BUF,WR,M.Goodwin,00-0030068,1990-11-19,2015
Jeff Janis,GB,WR,J.Janis,00-0031001,1991-06-24,2015
Jonathan Krause,PHI,WR,J.Krause,00-0030659,1992-01-18,2015
Tre McBride,TEN,WR,T.McBride,00-0032123,1992-12-01,2015
Cordarrelle Patterson,MIN,WR,C.Patterson,00-0030578,1991-03-17,2015
Brandon Tate,CIN,WR,B.Tate,00-0027057,1987-10-05,2015
Deonte Thompson,CHI,WR,D.Thompson,00-0029388,1989-02-14,2015
Andrew Turzilli,TEN,WR,A.Turzilli,00-0032045,1991-10-13,2015
Darren Waller,BAL,WR,D.Waller,00-0031610,1992-09-13,2015
DeAndrew White,SF,WR,D.White,00-0031511,1991-10-16,2015
Tyrell Williams,SD,WR,T.Williams,00-0032160,1992-02-12,2015
Seyi Ajirotutu,PHI,WR,S.Ajirotutu,00-0027581,1987-06-12,2015
Mario Alford,CIN,WR,M.Alford,00-0031962,1992-02-25,2015
Vincent Brown,SD,WR,V.Brown,00-0028020,1989-01-25,2015
Sammie Coates,PIT,WR,S.Coates,00-0032166,1993-03-31,2015
Marcus Easley,BUF,WR,M.Easley,00-0027708,1987-11-02,2015
Ben Edwards,NYG,WR,B.Edwards,00-0032001,1992-04-10,2015
Brittan Golden,ARI,WR,B.Golden,00-0029336,1988-07-20,2015
Chris Harper,NE,WR,C.Harper,00-0031854,1993-12-07,2015
Tyler Murphy,PIT,WR,T.Murphy,00-0031816,1992-01-12,2015
Terrelle Pryor,CLE,WR,T.Pryor,00-0028825,1989-06-20,2015
Paul Richardson,SEA,WR,P.Richardson,00-0031257,1992-04-13,2015
Rod Streater,OAK,WR,R.Streater,00-0029129,1988-02-09,2015
Eric Weems,ATL,WR,E.Weems,00-0024535,1985-07-04,2015
Kasen Williams,SEA,WR,K.Williams,00-0032250,1992-12-05,2015
Matt Hazel,MIA,WR,M.Hazel,00-0031315,1992-01-23,2015
Seantavius Jones,NO,WR,S.Jones,00-0030807,1992-08-09,2015
Vince Mayle,DAL,WR,V.Mayle,00-0032188,1991-06-12,2015
Kevin Norwood,CAR,WR,K.Norwood,00-0031327,1989-09-23,2015
Rico Richardson,TEN,WR,R.Richardson,00-0030162,1991-07-01,2015
Matthew Slater,NE,WR,M.Slater,00-0026293,1985-09-09,2015
Delanie Walker,TEN,TE,D.Walker,00-0024389,1984-08-12,2015
Jordan Reed,WAS,TE,J.Reed,00-0030472,1990-07-03,2015
Gary Barnidge,CLE,TE,G.Barnidge,00-0026281,1985-09-22,2015
Greg Olsen,CAR,TE,G.Olsen,00-0025418,1985-03-11,2015
Jason Witten,DAL,TE,J.Witten,00-0022127,1982-05-06,2015
Zach Ertz,PHI,TE,Z.Ertz,00-0030061,1990-11-10,2015
Benjamin Watson,NO,TE,B.Watson,00-0022943,1980-12-18,2015
Rob Gronkowski,NE,TE,R.Gronkowski,00-0027656,1989-05-14,2015
Travis Kelce,KC,TE,T.Kelce,00-0030506,1989-10-05,2015
Heath Miller,PIT,TE,H.Miller,00-0023465,1982-10-22,2015
Jacob Tamme,ATL,TE,J.Tamme,00-0026267,1985-03-15,2015
Richard Rodgers,GB,TE,R.Rodgers,00-0031384,1992-01-22,2015
Antonio Gates,SD,TE,A.Gates,00-0021547,1980-06-18,2015
Coby Fleener,IND,TE,C.Fleener,00-0029697,1988-09-20,2015
Martellus Bennett,CHI,TE,M.Bennett,00-0026201,1987-03-10,2015
Tyler Eifert,CIN,TE,T.Eifert,00-0030549,1990-09-08,2015
Charles Clay,BUF,TE,C.Clay,00-0028112,1989-02-13,2015
Kyle Rudolph,MIN,TE,K.Rudolph,00-0027981,1989-11-09,2015
Jimmy Graham,SEA,TE,J.Graham,00-0027696,1986-11-24,2015
Eric Ebron,DET,TE,E.Ebron,00-0031387,1993-04-10,2015
Owen Daniels,DEN,TE,O.Daniels,00-0024313,1982-11-09,2015
Julius Thomas,JAC,TE,J.Thomas,00-0028067,1988-06-27,2015
Will Tye,NYG,TE,W.Tye,00-0032004,1991-11-04,2015
Jared Cook,STL,TE,J.Cook,00-0027061,1987-04-07,2015
Ladarius Green,SD,TE,L.Green,00-0029275,1990-05-29,2015
Jordan Cameron,MIA,TE,J.Cameron,00-0028040,1988-08-07,2015
Zach Miller,CHI,TE,Z.Miller,00-0027125,1984-10-04,2015
Crockett Gillmore,BAL,TE,C.Gillmore,00-0030992,1991-11-16,2015
Mychal Rivera,OAK,TE,M.Rivera,00-0030514,1990-09-08,2015
Maxx Williams,BAL,TE,M.Williams,00-0031558,1994-04-12,2015
Vance McDonald,SF,TE,V.McDonald,00-0030470,1990-06-13,2015
Larry Donnell,NYG,TE,L.Donnell,00-0028838,1988-11-01,2015
Clive Walford,OAK,TE,C.Walford,00-0032256,1991-10-01,2015
Brent Celek,PHI,TE,B.Celek,00-0025549,1985-01-25,2015
Anthony Fasano,TEN,TE,A.Fasano,00-0024268,1984-04-20,2015
Lance Kendricks,STL,TE,L.Kendricks,00-0027985,1988-01-30,2015
Cameron Brate,TB,TE,C.Brate,00-0031273,1991-07-03,2015
Scott Chandler,NE,TE,S.Chandler,00-0025516,1985-07-23,2015
Darren Fells,ARI,TE,D.Fells,00-0029738,1986-04-22,2015
Austin Seferian-Jenkins,TB,TE,A.Seferian-Jenkins,00-0031418,1992-09-29,2015
Vernon Davis,DEN,TE,V.Davis,00-0024221,1984-01-31,2015
Ryan Griffin,HOU,TE,R.Griffin,00-0030108,1990-01-11,2015
Garrett Celek,SF,TE,G.Celek,00-0028903,1988-05-29,2015
Nick Boyle,BAL,TE,N.Boyle,00-0031598,1993-02-17,2015
Jermaine Gresham,ARI,TE,J.Gresham,00-0027873,1988-06-16,2015
Dion Sims,MIA,TE,D.Sims,00-0030422,1991-02-18,2015
Derek Carrier,WAS,TE,D.Carrier,00-0029119,1990-07-25,2015
Ed Dickson,CAR,TE,E.Dickson,00-0027675,1987-07-25,2015
C.J. Fiedorowicz,HOU,TE,C.Fiedorowicz,00-0031302,1991-10-22,2015
Luke Willson,SEA,TE,L.Willson,00-0030089,1990-01-15,2015
Dwayne Allen,IND,TE,D.Allen,00-0029689,1990-02-24,2015
Josh Hill,NO,TE,J.Hill,00-0030216,1990-05-21,2015
Marcedes Lewis,JAC,TE,M.Lewis,00-0024243,1984-05-19,2015
Blake Bell,SF,TE,B.Bell,00-0032062,1991-08-07,2015
Clay Harbor,JAC,TE,C.Harbor,00-0027725,1987-07-02,2015
Cooper Helfet,SEA,TE,C.Helfet,00-0029534,1989-06-02,2015
Jack Doyle,IND,TE,J.Doyle,00-0030181,1990-05-05,2015
Chris Gragg,BUF,TE,C.Gragg,00-0030049,1990-06-30,2015
Virgil Green,DEN,TE,V.Green,00-0028142,1988-08-03,2015
Brandon Myers,TB,TE,B.Myers,00-0027135,1985-09-04,2015
Lee Smith,OAK,TE,L.Smith,00-0028097,1987-11-21,2015
Craig Stevens,TEN,TE,C.Stevens,00-0026225,1984-09-01,2015
Rhett Ellison,MIN,TE,R.Ellison,00-0029587,1988-10-03,2015
Michael Hoomanawanui,NO,TE,M.Hoomanawanui,00-0027732,1988-07-04,2015
Tyler Kroft,CIN,TE,T.Kroft,00-0032214,1992-10-15,2015
Justin Perillo,GB,TE,J.Perillo,00-0030758,1991-01-05,2015
John Phillips,SD,TE,J.Phillips,00-0027139,1987-06-11,2015
MyCole Pruitt,MIN,TE,M.Pruitt,00-0031585,1992-03-24,2015
James Hanna,DAL,TE,J.Hanna,00-0029634,1989-07-14,2015
Luke Stocker,TB,TE,L.Stocker,00-0028042,1988-07-17,2015
Timothy Wright,DET,TE,T.Wright,00-0029910,1990-04-07,2015
Jerome Cunningham,NYG,TE,J.Cunningham,00-0031462,1991-05-25,2015
Gavin Escobar,DAL,TE,G.Escobar,00-0030544,1991-02-03,2015
Ryan Hewitt,CIN,TE,R.Hewitt,00-0030780,1991-01-24,2015
Jesse James,PIT,TE,J.James,00-0032135,1994-06-04,2015
Demetrius Harris,KC,TE,D.Harris,00-0030155,1991-07-29,2015
Brandon Pettigrew,DET,TE,B.Pettigrew,00-0026996,1985-02-23,2015
Levine Toilolo,ATL,TE,L.Toilolo,00-0030443,1991-07-30,2015
Jim Dray,CLE,TE,J.Dray,00-0027825,1986-12-31,2015
Daniel Fells,NYG,TE,D.Fells,00-0023752,1983-09-23,2015
James O'Shaughnessy,KC,TE,J.O'Shaughnessy,00-0031951,1992-01-14,2015
Jeff Cumberland,NYJ,TE,J.Cumberland,00-0027321,1987-05-02,2015
Cory Harkey,STL,TE,C.Harkey,00-0028958,1990-06-17,2015
Jake Stoneburner,MIA,TE,J.Stoneburner,00-0030272,1989-08-25,2015
Chase Coffman,SEA,TE,C.Coffman,00-0027069,1986-11-10,2015
Garrett Graham,HOU,TE,G.Graham,00-0027718,1986-08-04,2015
Troy Niklas,ARI,TE,T.Niklas,00-0031044,1992-09-18,2015
Andrew Quarless,GB,TE,A.Quarless,00-0027753,1988-10-06,2015
Trey Burton,PHI,TE,T.Burton,00-0030710,1991-10-29,2015
Kellen Davis,NYJ,TE,K.Davis,00-0026298,1985-10-11,2015
Rob Housler,CHI,TE,R.Housler,00-0028007,1988-03-17,2015
Matt LaCosse,NYG,TE,M.LaCosse,00-0031744,1992-09-21,2015
Tony Moeaki,ATL,TE,T.Moeaki,00-0027695,1987-06-08,2015
Phillip Supernaw,TEN,TE,P.Supernaw,00-0028987,1990-01-30,2015
Michael Williams,NE,TE,M.Williams,00-0030110,1990-09-08,2015
Matt Spaeth,PIT,TE,M.Spaeth,00-0025464,1983-11-24,2015
E.J. Bibbs,CLE,TE,E.Bibbs,00-0031968,1991-08-28,2015
MarQueis Gray,BUF,TE,M.Gray,00-0029878,1989-11-07,2015
Nic Jacobs,JAC,TE,N.Jacobs,00-0030806,1991-10-13,2015
David Johnson,SD,TE,D.Johnson,00-0026957,1987-08-26,2015
Khari Lee,CHI,TE,K.Lee,00-0031922,1992-01-16,2015
Brian Leonhardt,SF,TE,B.Leonhardt,00-0029755,1990-04-02,2015
Matthew Mulligan,BUF,TE,M.Mulligan,00-0026008,1985-01-18,2015
Nick O'Leary,BUF,TE,N.O'Leary,00-0032117,1992-08-31,2015
Brian Parker,KC,TE,B.Parker,00-0032089,1992-05-30,2015
Scott Simonson,CAR,TE,S.Simonson,00-0031167,1992-04-13,2015
Geoff Swaim,DAL,TE,G.Swaim,00-0032141,1993-09-16,2015
C.J. Uzomah,CIN,TE,C.Uzomah,00-0032134,1993-01-14,2015
Alex Smith,WAS,TE,A.Smith,00-0023506,1982-05-22,2015
Drew Brees,NO,QB,D.Brees,00-0020531,1979-01-15,2016
Matt Ryan,ATL,QB,M.Ryan,00-0026143,1985-05-17,2016
Kirk Cousins,WAS,QB,K.Cousins,00-0029604,1988-08-19,2016
Aaron Rodgers,GB,QB,A.Rodgers,00-0023459,1983-12-02,2016
Philip Rivers,SD,QB,P.Rivers,00-0022942,1981-12-08,2016
Matthew Stafford,DET,QB,M.Stafford,00-0026498,1988-02-07,2016
Joe Flacco,BAL,QB,J.Flacco,00-0026158,1985-01-16,2016
Andrew Luck,IND,QB,A.Luck,00-0029668,1989-09-12,2016
Carson Palmer,ARI,QB,C.Palmer,00-0021429,1979-12-27,2016
Russell Wilson,SEA,QB,R.Wilson,00-0029263,1988-11-29,2016
Andy Dalton,CIN,QB,A.Dalton,00-0027973,1987-10-29,2016
Jameis Winston,TB,QB,J.Winston,00-0031503,1994-01-06,2016
Eli Manning,NYG,QB,E.Manning,00-0022803,1981-01-03,2016
Derek Carr,OAK,QB,D.Carr,00-0031280,1991-03-28,2016
Blake Bortles,JAX,QB,B.Bortles,00-0031407,1992-04-28,2016
Sam Bradford,MIN,QB,S.Bradford,00-0027854,1987-11-08,2016
Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924,1982-03-02,2016
Carson Wentz,PHI,QB,C.Wentz,00-0032950,1992-12-30,2016
Dak Prescott,DAL,QB,D.Prescott,00-0033077,1993-07-29,2016
Tom Brady,NE,QB,T.Brady,00-0019596,1977-08-03,2016
Cam Newton,CAR,QB,C.Newton,00-0027939,1989-05-11,2016
Alex Smith,KC,QB,A.Smith,00-0023436,1984-05-07,2016
Marcus Mariota,TEN,QB,M.Mariota,00-0032268,1993-10-30,2016
Trevor Siemian,DEN,QB,T.Siemian,00-0032156,1991-12-26,2016
Tyrod Taylor,BUF,QB,T.Taylor,00-0028118,1989-08-03,2016
Ryan Tannehill,MIA,QB,R.Tannehill,00-0029701,1988-07-27,2016
Brock Osweiler,HOU,QB,B.Osweiler,00-0029682,1990-11-22,2016
Ryan Fitzpatrick,NYJ,QB,R.Fitzpatrick,00-0023682,1982-11-24,2016
Colin Kaepernick,SF,QB,C.Kaepernick,00-0027974,1987-11-03,2016
Case Keenum,LA,QB,C.Keenum,00-0028986,1988-02-17,2016
Matt Barkley,CHI,QB,M.Barkley,00-0030533,1990-09-08,2016
Brian Hoyer,CHI,QB,B.Hoyer,00-0026625,1985-10-13,2016
Cody Kessler,CLE,QB,C.Kessler,00-0033104,1993-05-11,2016
Josh McCown,CLE,QB,J.McCown,00-0021206,1979-07-04,2016
Jared Goff,LA,QB,J.Goff,00-0033106,1994-10-14,2016
Jay Cutler,CHI,QB,J.Cutler,00-0024226,1983-04-29,2016
Blaine Gabbert,SF,QB,B.Gabbert,00-0027948,1989-10-15,2016
Robert Griffin III,CLE,QB,R.III,00-0029665,1990-02-12,2016
Bryce Petty,NYJ,QB,B.Petty,00-0031568,1991-05-31,2016
Matt Moore,MIA,QB,M.Moore,00-0025708,1984-08-09,2016
Landry Jones,PIT,QB,L.Jones,00-0030524,1989-04-04,2016
Jimmy Garoppolo,NE,QB,J.Garoppolo,00-0031345,1991-11-02,2016
Paxton Lynch,DEN,QB,P.Lynch,00-0033108,1994-02-12,2016
Tom Savage,HOU,QB,T.Savage,00-0031064,1990-04-26,2016
Derek Anderson,CAR,QB,D.Anderson,00-0023645,1983-06-15,2016
Nick Foles,KC,QB,N.Foles,00-0029567,1989-01-20,2016
Jacoby Brissett,NE,QB,J.Brissett,00-0033119,1992-12-11,2016
Matt Cassel,TEN,QB,M.Cassel,00-0023662,1982-05-17,2016
Shaun Hill,MIN,QB,S.Hill,00-0020679,1980-01-09,2016
Scott Tolzien,IND,QB,S.Tolzien,00-0028595,1987-09-04,2016
Drew Stanton,ARI,QB,D.Stanton,00-0025430,1984-05-07,2016
Charlie Whitehurst,CLE,QB,C.Whitehurst,00-0024296,1982-08-06,2016
Connor Cook,OAK,QB,C.Cook,00-0032893,1993-01-29,2016
Trevone Boykin,SEA,QB,T.Boykin,00-0032462,1993-08-22,2016
EJ Manuel,BUF,QB,E.Manuel,00-0030526,1990-03-19,2016
Geno Smith,NYJ,QB,G.Smith,00-0030565,1990-10-10,2016
Kevin Hogan,CLE,QB,K.Hogan,00-0032784,1992-10-20,2016
Cardale Jones,BUF,QB,C.Jones,00-0033098,1992-09-29,2016
Mark Sanchez,DAL,QB,M.Sanchez,00-0026898,1986-11-11,2016
Mike Glennon,TB,QB,M.Glennon,00-0030520,1989-12-12,2016
Matt McGloin,OAK,QB,M.McGloin,00-0030419,1989-12-02,2016
Tony Romo,DAL,QB,T.Romo,00-0021678,1980-04-21,2016
Ryan Mallett,BAL,QB,R.Mallett,00-0028012,1988-06-05,2016
David Fales,CHI,QB,D.Fales,00-0031076,1990-10-04,2016
Sean Mannion,LA,QB,S.Mannion,00-0032245,1992-04-25,2016
Brett Hundley,GB,QB,B.Hundley,00-0031589,1993-06-15,2016
Chase Daniel,PHI,QB,C.Daniel,00-0026544,1986-10-07,2016
Matt Schaub,ATL,QB,M.Schaub,00-0022787,1981-06-25,2016
Kellen Clemens,SD,QB,K.Clemens,00-0024264,1983-06-06,2016
Ezekiel Elliott,DAL,RB,E.Elliott,00-0033045,1995-07-22,2016
Le'Veon Bell,PIT,RB,L.Bell,00-0030496,1992-02-18,2016
Jordan Howard,CHI,RB,J.Howard,00-0032780,1994-11-02,2016
Andre Williams,SD,RB,A.Williams,00-0031055,1992-08-28,2016
Jay Ajayi,MIA,RB,J.Ajayi,00-0031590,1993-06-15,2016
LeSean McCoy,BUF,RB,L.McCoy,00-0027029,1988-07-12,2016
DeMarco Murray,TEN,RB,D.Murray,00-0028009,1988-02-12,2016
David Johnson,ARI,RB,D.Johnson,00-0032187,1991-12-16,2016
Melvin Gordon,SD,RB,M.Gordon,00-0032144,1993-04-13,2016
Lamar Miller,HOU,RB,L.Miller,00-0029615,1991-04-25,2016
Carlos Hyde,SF,RB,C.Hyde,00-0031045,1990-09-20,2016
LeGarrette Blount,NE,RB,L.Blount,00-0027325,1986-12-05,2016
Eddie Lacy,GB,RB,E.Lacy,00-0030485,1990-06-02,2016
Devonta Freeman,ATL,RB,D.Freeman,00-0031285,1992-03-15,2016
Spencer Ware,KC,RB,S.Ware,00-0030414,1991-11-23,2016
Matt Jones,WAS,RB,M.Jones,00-0031939,1993-03-07,2016
Mark Ingram,NO,RB,M.Ingram,00-0027966,1989-12-21,2016
Frank Gore,IND,RB,F.Gore,00-0023500,1983-05-14,2016
Jonathan Stewart,CAR,RB,J.Stewart,00-0026153,1987-03-21,2016
C.J. Anderson,DEN,RB,C.Anderson,00-0029854,1991-02-10,2016
Isaiah Crowell,CLE,RB,I.Crowell,00-0030656,1993-01-08,2016
Matt Forte,NYJ,RB,M.Forte,00-0026184,1985-12-10,2016
Danny Woodhead,SD,RB,D.Woodhead,00-0026019,1985-01-25,2016
Latavius Murray,OAK,RB,L.Murray,00-0030513,1990-01-18,2016
Jacquizz Rodgers,TB,RB,J.Rodgers,00-0028083,1990-02-06,2016
Jeremy Hill,CIN,RB,J.Hill,00-0031301,1992-10-20,2016
Todd Gurley,LA,RB,T.Gurley,00-0032241,1994-08-03,2016
Doug Martin,TB,RB,D.Martin,00-0029613,1989-01-13,2016
Ryan Mathews,PHI,RB,R.Mathews,00-0027864,1987-10-10,2016
Ameer Abdullah,DET,RB,A.Abdullah,00-0032104,1993-06-13,2016
Terrance West,BAL,RB,T.West,00-0031375,1991-01-28,2016
Cameron Artis-Payne,CAR,RB,C.Artis-Payne,00-0031599,1990-06-23,2016
Rob Kelley,WAS,RB,R.Kelley,00-0032371,1992-10-03,2016
Rashad Jennings,NYG,RB,R.Jennings,00-0027155,1985-03-26,2016
Bilal Powell,NYJ,RB,B.Powell,00-0028064,1988-10-27,2016
Dion Lewis,NE,RB,D.Lewis,00-0028087,1990-09-27,2016
Tevin Coleman,ATL,RB,T.Coleman,00-0032058,1993-04-16,2016
Chris Ivory,JAX,RB,C.Ivory,00-0027531,1988-03-22,2016
