Player,Team,Pos,name,GSIS_ID,Birth_date,season
Jamaal Charles,KC,RB,J.Charles,00-0026213,1986-12-27,2014
Lamar Miller,MIA,RB,L.Miller,00-0029615,1991-04-25,2014
Alfred Morris,WAS,RB,A.Morris,00-0029141,1988-12-12,2014
Matt Forte,CHI,RB,M.Forte,00-0026184,1985-12-10,2014
Tre Mason,STL,RB,T.Mason,00-0031391,1993-08-06,2014
Jonathan Stewart,CAR,RB,J.Stewart,00-0026153,1987-03-21,2014
Rashad Jennings,NYG,RB,R.Jennings,00-0027155,1985-03-26,2014
Joique Bell,DET,RB,J.Bell,00-0027218,1986-08-04,2014
Stevan Ridley,NE,RB,S.Ridley,00-0028011,1989-01-27,2014
C.J. Anderson,DEN,RB,C.Anderson,00-0029854,1991-02-10,2014
LeGarrette Blount,NE,RB,L.Blount,00-0027325,1986-12-05,2014
Andre Ellington,ARI,RB,A.Ellington,00-0030287,1989-02-03,2014
Ryan Mathews,SD,RB,R.Mathews,00-0027864,1987-10-10,2014
Ronnie Hillman,DEN,RB,R.Hillman,00-0029683,1991-09-14,2014
Giovani Bernard,CIN,RB,G.Bernard,00-0030456,1991-11-22,2014
Jonas Gray,NE,RB,J.Gray,00-0029104,1990-06-27,2014
Chris Ivory,NYJ,RB,C.Ivory,00-0027531,1988-03-22,2014
Knowshon Moreno,MIA,RB,K.Moreno,00-0026988,1987-07-16,2014
Kerwynn Williams,ARI,RB,K.Williams,00-0030117,1991-06-09,2014
Jerick McKinnon,MIN,RB,J.McKinnon,00-0031376,1992-05-03,2014
Terrance West,CLE,RB,T.West,00-0031375,1991-01-28,2014
Steven Jackson,ATL,RB,S.Jackson,00-0022736,1983-07-22,2014
Andre Williams,NYG,RB,A.Williams,00-0031055,1992-08-28,2014
Doug Martin,TB,RB,D.Martin,00-0029613,1989-01-13,2014
Denard Robinson,JAC,RB,D.Robinson,00-0030547,1990-09-22,2014
Ahmad Bradshaw,IND,RB,A.Bradshaw,00-0025637,1986-03-19,2014
Branden Oliver,SD,RB,B.Oliver,00-0031277,1991-05-07,2014
Chris Johnson,NYJ,RB,C.Johnson,00-0026164,1985-09-23,2014
Matt Asiata,MIN,RB,M.Asiata,00-0028198,1987-07-24,2014
Isaiah Crowell,CLE,RB,I.Crowell,00-0030656,1993-01-08,2014
Fred Jackson,BUF,RB,F.Jackson,00-0024204,1981-02-20,2014
DeAngelo Williams,CAR,RB,D.Williams,00-0024242,1983-04-25,2014
Khiry Robinson,NO,RB,K.Robinson,00-0030348,1989-12-28,2014
Bishop Sankey,TEN,RB,B.Sankey,00-0031413,1992-09-15,2014
Trent Richardson,IND,RB,T.Richardson,00-0029675,1990-07-10,2014
Montee Ball,DEN,RB,M.Ball,00-0030522,1990-12-05,2014
Darren McFadden,OAK,RB,D.McFadden,00-0026144,1987-08-27,2014
C.J. Spiller,BUF,RB,C.Spiller,00-0027861,1987-08-05,2014
Alfred Blue,HOU,RB,A.Blue,00-0031075,1991-04-27,2014
Shonn Greene,TEN,RB,S.Greene,00-0026899,1985-08-21,2014
Knile Davis,KC,RB,K.Davis,00-0030280,1991-10-05,2014
Latavius Murray,OAK,RB,L.Murray,00-0030513,1990-01-18,2014
Bernard Pierce,BAL,RB,B.Pierce,00-0029264,1991-05-10,2014
Bobby Rainey,TB,RB,B.Rainey,00-0029384,1987-10-16,2014
Reggie Bush,DET,RB,R.Bush,00-0024217,1985-03-02,2014
Anthony Dixon,BUF,RB,A.Dixon,00-0027772,1987-09-24,2014
Jonathan Dwyer,ARI,RB,J.Dwyer,00-0027786,1989-07-26,2014
Shane Vereen,NE,RB,S.Vereen,00-0027994,1989-03-02,2014
Carlos Hyde,SF,RB,C.Hyde,00-0031045,1990-09-20,2014
Toby Gerhart,JAC,RB,T.Gerhart,00-0027888,1987-03-28,2014
Charles Sims,TB,RB,C.Sims,00-0031390,1990-09-19,2014
Zac Stacy,STL,RB,Z.Stacy,00-0030536,1991-04-09,2014
Lorenzo Taliaferro,BAL,RB,L.Taliaferro,00-0031066,1991-12-23,2014
Dan Herron,IND,RB,D.Herron,00-0029588,1989-03-21,2014
Darren Sproles,PHI,RB,D.Sproles,00-0023564,1983-06-20,2014
Joseph Randle,DAL,RB,J.Randle,00-0030388,1991-12-29,2014
James Starks,GB,RB,J.Starks,00-0027791,1986-02-25,2014
Pierre Thomas,NO,RB,P.Thomas,00-0024813,1984-12-18,2014
Robert Turbin,SEA,RB,R.Turbin,00-0029273,1989-12-02,2014
Juwan Thompson,DEN,RB,J.Thompson,00-0030705,1992-05-13,2014
Bryce Brown,BUF,RB,B.Brown,00-0029429,1991-05-14,2014
Christine Michael,SEA,RB,C.Michael,00-0030432,1990-11-09,2014
Donald Brown,SD,RB,D.Brown,00-0027003,1987-04-11,2014
Devonta Freeman,ATL,RB,D.Freeman,00-0031285,1992-03-15,2014
Roy Helu,WAS,RB,R.Helu,00-0028043,1988-12-07,2014
Benny Cunningham,STL,RB,B.Cunningham,00-0029795,1990-07-07,2014
Stepfan Taylor,ARI,RB,S.Taylor,00-0030282,1991-06-09,2014
Fozzy Whittaker,CAR,RB,F.Whittaker,00-0029731,1989-02-02,2014
Antone Smith,ATL,RB,A.Smith,00-0026855,1985-09-17,2014
Storm Johnson,JAC,RB,S.Johnson,00-0031243,1992-07-10,2014
Daniel Thomas,MIA,RB,D.Thomas,00-0028000,1987-10-29,2014
Jacquizz Rodgers,ATL,RB,J.Rodgers,00-0028083,1990-02-06,2014
Darrin Reaves,CAR,RB,D.Reaves,00-0031123,1993-04-17,2014
Peyton Hillis,NYG,RB,P.Hillis,00-0026367,1986-01-21,2014
James White,NE,RB,J.White,00-0031062,1992-02-03,2014
Danny Woodhead,SD,RB,D.Woodhead,00-0026019,1985-01-25,2014
Chris Polk,PHI,RB,C.Polk,00-0029438,1989-12-16,2014
Jordan Todman,JAC,RB,J.Todman,00-0028121,1990-02-24,2014
Ka'Deem Carey,CHI,RB,K.Carey,00-0031057,1992-10-30,2014
Mike Tolbert,CAR,FB,M.Tolbert,00-0026069,1985-11-23,2014
Jonathan Grimes,HOU,RB,J.Grimes,00-0029510,1989-12-21,2014
De'Anthony Thomas,KC,RB,D.Thomas,00-0031060,1993-01-05,2014
Bilal Powell,NYJ,RB,B.Powell,00-0028064,1988-10-27,2014
